"start_date","end_date","umc_m3","umc_m3_lwr","umc_m3_upr","sny_m3","sny_m3_lwr","sny_m3_upr","spr_m3","spr_m3_lwr","spr_m3_upr","fish_m3","fish_m3_lwr","fish_m3_upr","lmc_m3","lmc_m3_lwr","lmc_m3_upr","Le_m3","Le_m3_lwr","Le_m3_upr","Lw_m3","lake_volume","lake_volume_lwr","lake_volume_upr","resid","resid_upr","resid_lwr"
2016-04-06 01:00:00,2016-04-12,18669521.500281,6935279.11427441,50079717.2041996,366064.372683641,161060.814830951,838199.138770572,109578.968396688,3829.08561102696,3249223.10572613,506609.281181729,57093.2347424135,4535743.64669166,16094274.638797,8126998.7357273,31906806.8558238,703954.881817446,701743.277857504,705782.070604506,0,1511147576.1297,1511289690.95382,1511059847.93956,-5124193.94607848,-635593.76480394,-28440417.4589796
2016-04-12 17:00:00,2016-04-19,21755728.7193187,8100472.26656732,58544664.5780978,469985.881424284,206023.072568923,1080258.89932513,125862.132994635,4788.41480634454,3381582.86842733,639042.64270782,71787.678294381,5744147.36983342,19777846.5750456,9979884.94144688,39223706.1381445,687426.321074099,683780.971904384,691265.146821764,303748.13969613,1508876926.78555,1508939567.6638,1508752774.41063,3964286.94664806,8878020.48050823,-22343174.0712735
2016-04-19 18:00:00,2016-04-26,26906432.1106974,9980626.36655411,72403509.5665525,778008.685703607,333341.462473769,1819761.95295791,151997.013457264,5287.96870679814,4466838.25341014,994545.853556647,104225.151933244,9570246.72083342,28288108.7106947,14255687.9808073,56075776.402929,817420.036324483,811830.954495665,823181.373640904,473281.985107924,1515670308.35222,1515735824.16294,1515653948.54972,-6745353.11592371,-2412159.42690306,-38263549.1019819
2016-04-26 16:00:00,2016-05-03,22383327.1548019,8332702.42307245,60245030.1838543,504567.149555236,220616.836111818,1163138.69801819,128936.488621689,4903.17980032901,3448528.95078753,677297.172566313,75571.548992387,6171765.40527437,20737294.708974,10460965.451007,41035019.538042,690753.104944387,687070.731141902,695010.26153719,0,1509123692.1378,1509306955.76325,1509071033.12229,6161547.34694322,11105273.8709519,-21124090.6145354
2016-05-03 17:00:00,2016-05-10,26992933.0032616,10047577.4268667,72656378.8100604,777102.259882632,332767.350148489,1823322.33788389,152367.424418784,5430.0560481638,4469219.16857932,991508.975894524,103433.338061501,9453327.96684579,28292110.7787148,14283098.148603,56082850.9795864,1000189.22394413,993884.485224329,1006308.61323327,296684.229470639,1517551319.63637,1517481298.58707,1517662064.79907,-10774576.1557891,-6504123.16700811,-42338610.1374603
2016-05-10 15:00:00,2016-05-17,22365685.271297,8320568.56373798,60063653.0199029,501747.294963309,219599.967288027,1154573.73046589,128947.665292877,4875.09488424352,3487866.18245714,675258.294233739,75143.1354446175,6130880.36381045,20662403.6486436,10431401.3719554,40964942.2111737,784393.382844477,780374.760718197,788475.167330617,353195.51127457,1506695039.37085,1506752461.36963,1506666851.39883,6996100.97692641,11733128.6302842,-19882759.3559869
2016-05-17 17:00:00,2016-05-25,25036749.9487244,9328094.22413268,67275510.4171227,620049.86847104,269555.164781453,1432556.46246332,143211.023293512,5386.36131299408,3890026.0531361,818018.928885095,89262.3254844676,7559142.48847116,24323764.4293809,12253060.4532379,48196342.1948035,708595.616669232,705210.276013757,712025.499048133,3758000.23996142,1516269177.35335,1516306453.44305,1516161586.16907,-10636341.0501954,-5689272.50674142,-40205062.3787329
2016-05-25 01:00:00,2016-05-31,23814035.6352164,8842213.93508188,64217713.8285496,616677.540762785,267092.4532319,1430968.01335677,135712.280790147,5166.8417885252,3663988.82446317,807099.084370296,87801.5090815373,7486840.7929762,23718952.718012,11978723.6625731,47032688.7344045,714310.119581148,710356.715678842,718011.749733147,247236.857892199,1510976506.26644,1511108259.03162,1510964341.24875,4988902.61374161,9363856.97957587,-23081492.2119502
2016-05-31 16:00:00,2016-06-07,25102863.9096167,9328280.90732496,67622101.5667961,645337.766294766,279209.740976428,1495887.11944877,142932.915538514,5372.16951365283,3839855.12510564,845298.313785309,91355.8043387799,7794641.4625363,24881204.121236,12555626.0273521,49265505.1302905,1083762.35297884,1077073.74840512,1089984.29477827,98894.7431568796,1517152907.44162,1517322814.65277,1517088629.44715,-9508370.14435738,-4734264.09924357,-39242731.383615
2016-06-07 17:00:00,2016-06-14,25404989.820169,9446837.86604929,68363169.2646763,672815.002562263,291232.273912169,1559528.56243286,144582.912839575,5292.28003951477,3965740.31587357,874709.326023719,93809.8402905318,8176650.61426334,25527632.0864075,12909266.597928,50678126.3490425,988750.678021027,982989.438132974,994084.24754294,254300.76811769,1508514898.47144,1508575973.86113,1508524778.93746,-4957768.42614384,-381427.193748297,-34771079.7914583
