"age","actual_depth","sed.rate","sed.rate.error","ugP_ugsed","ugP_mgsed","ugN_ugsed","ugN_mgsed"
1140.51097560976,37.5,NA,NA,0.000716518348623853,0.716518348623853,0.00195188703,1.95188703030303
1132.88902439024,37.75,NA,NA,NA,NA,NA,NA
1125.26707317073,38,NA,NA,NA,NA,NA,NA
1117.64512195122,38.25,NA,NA,0.000663700787401575,0.663700787401575,0.00164392755,1.64392755252791
1110.02317073171,38.5,NA,NA,NA,NA,NA,NA
1102.4012195122,38.75,NA,NA,NA,NA,NA,NA
1094.77926829268,39,NA,NA,0.000646566068515498,0.646566068515498,0.00131112325,1.31112324992071
1087.15731707317,39.25,NA,NA,NA,NA,NA,NA
1079.53536585366,39.5,NA,NA,0.000671560721062619,0.671560721062619,0.00151589215,1.51589215021893
1071.91341463415,39.75,NA,NA,NA,NA,NA,NA
1064.29146341463,40,NA,NA,0.000663255494505494,0.663255494505494,0.00123702427,1.23702426559486
1056.66951219512,40.25,NA,NA,0.00067234185169669,0.67234185169669,NA,NA
1049.04756097561,40.5,0.0328,0,0.000706368227731864,0.706368227731864,0.00158007441,1.58007441089596
