"date","LE_mm_d","LE_mm_d_min","LE_mm_d_max","L3E_m3_d","L3E_m3_d_min","L3E_m3_d_max"
2020-06-28,4.2984697164029,4.2818839587523,4.3190220641452,119543.323557731,119082.062522039,120114.898122198
2020-06-29,3.0667264356235,3.05982743800268,3.08185517153099,85287.7174306522,85095.8516832532,85708.4577152019
2020-06-30,2.49884217722203,2.49400569430409,2.50364976247701,69494.475620346,69359.9697890884,69628.1777882301
2020-07-01,2.54499046164913,2.53931957384026,2.55382447928551,70777.8903378794,70620.1791474041,71023.5702887212
2020-07-02,2.20649258005771,2.19936317355432,2.21675497449876,61364.0373966163,61165.7638237779,61649.4414636643
2020-07-03,6.09004294538242,6.03700761040478,6.13112824894535,169368.175730585,167893.227521684,170510.785557182
2020-07-04,6.1211398226992,6.08880628283847,6.15417315085328,170233.000729242,169333.783316453,171151.679723453
2020-07-05,5.82612768868601,5.78939341203001,5.8548852368793,162028.515571369,161006.910719021,162828.282259332
2020-07-06,6.45196091217765,6.4176752066958,6.47888189742591,179433.356937018,178479.848490004,180182.047578654
2020-07-07,2.50061214688303,2.49229986464419,2.506296241554,69543.699662815,69312.529523035,69701.7781449762
2020-07-08,3.44228395350713,3.43019575555947,3.45951684176155,95732.2236937953,95396.0428076131,96211.4818652721
2020-07-09,6.07072602086984,6.03133141170771,6.10447763694961,168830.959114091,167735.368631849,169769.614176897
2020-07-10,4.56748927217445,4.54778473648802,4.58714546057634,127024.937695021,126476.941352014,127571.589467644
2020-07-11,6.48208916321787,6.4301466294283,6.52310765840482,180271.243789771,178826.687114282,181411.995630658
2020-07-12,5.02196933134904,4.99554436335776,5.04175475818219,139664.332723704,138929.436654405,140214.578703713
2020-07-13,6.02313094817289,5.99153761830808,6.05691380371171,167507.308245166,166628.676568436,168446.832098264
2020-07-14,6.55544767397239,6.50952192058721,6.59335290164043,182311.393137194,181034.167157072,183365.562921934
2020-07-15,5.92339362815318,5.88045692090213,5.95841475783529,164733.546533551,163539.447929615,165707.507620439
2020-07-16,5.42593207851062,5.38770010282351,5.45823530101807,150898.807449657,149835.550583528,151797.181716534
2020-07-17,4.20129608125843,4.1797220214596,4.22187708160328,116840.859640623,116240.870579134,117413.23105317
2020-07-18,6.41045610789476,6.37517848066241,6.44885325845838,178279.080514258,177297.986058598,179346.9310044
2020-07-19,5.54485618734314,5.5096335737422,5.57382130322301,154206.166616742,153226.60212704,155011.705901176
2020-07-20,6.03693009884796,5.99628575616206,6.0694705342671,167891.071873342,166760.725464258,168796.043190268
2020-07-21,5.98009694382376,5.93524708079177,6.01807032357598,166310.503743727,165063.198995366,167366.568883601
2020-07-22,6.23129524570103,6.18939776920973,6.27230856147584,173296.496866785,172131.299966749,174437.10466475
2020-07-23,5.71795336001525,5.68386856015538,5.7506759544638,159020.114994861,158072.193867837,159930.152276474
2020-07-24,5.16772605583732,5.13811838665505,5.1956294662969,143717.924914833,142894.515792433,144493.937459996
2020-07-25,6.38785082373931,6.35217253699053,6.42393216322428,177650.412412306,176658.175346981,178653.858644343
2020-07-26,6.35378655598471,6.30743223697184,6.39379152151684,176703.06229689,175413.917619447,177815.627198831
2020-07-27,6.29352006633062,6.23477526292393,6.34262028174629,175027.010830268,173393.278477989,176392.520726916
2020-07-28,5.82952064912399,5.79224987896606,5.86460984753242,162122.87607504,161086.350978857,163098.730198826
2020-07-29,5.74604064501274,5.70534913782565,5.782782064374,159801.241214152,158669.583128682,160823.04470992
2020-07-30,6.02332607861357,5.98151729742179,6.06108102815246,167512.734953494,166350.004729179,168562.725402748
2020-07-31,5.90577018377053,5.86418608235891,5.94766047307579,164243.426734405,163086.945005352,165408.423753981
2020-08-01,4.53871762993092,4.50701222221429,4.577038116193,126224.779042075,125343.030405174,127290.497446613
2020-08-02,5.95875746874262,5.92482821609638,6.00045428480707,165717.03864045,164773.443385682,166876.655039537
2020-08-03,5.705906737556,5.67928881966805,5.73597900297702,158685.090350874,157944.828215638,159521.420206037
2020-08-04,6.00226829953936,5.96784547909535,6.0362165059694,166927.104004956,165969.782298954,167871.226377155
2020-08-05,6.03181400732384,5.99003658043467,6.07088934251344,167748.789939359,166586.931699213,168835.501198455
2020-08-06,2.88475656284046,2.86930354449924,2.89970641212059,80227.0133161502,79797.2545197909,80642.7786437071
2020-08-07,4.14894755221521,4.12977694759931,4.16973448171804,115385.011965042,114851.864602935,115963.110405481
2020-08-08,3.05697040225456,3.03949201078135,3.07391388477609,85016.3956043721,84530.3098238497,85487.6052084639
2020-08-09,5.92944172749157,5.89878588272717,5.96773999349105,164901.748229461,164049.188641657,165966.848673604
2020-08-10,5.73499167646822,5.68755314699007,5.77604944521995,159493.961994142,158174.664697043,160635.806059186
2020-08-11,5.3693092308089,5.330635110921,5.40552588022188,149324.088107624,148248.534914954,150331.29739944
2020-08-12,2.92908492452379,2.91029213550509,2.93838986253876,81459.8147625051,80937.1747053606,81718.5913246765
2020-08-13,4.80114494399485,4.7728673217963,4.82569708209919,133523.058519494,132736.638895081,134205.869934506
2020-08-14,5.63276665588673,5.59205841210912,5.67303600451985,156651.015662698,155518.892121428,157770.933235861
2020-08-15,5.65112809169713,5.60160089220226,5.69196699764156,157161.659498036,155784.274887989,158297.416841731
2020-08-16,5.38130244260597,5.34000342671506,5.41551822562635,149657.6273653,148509.074055636,150609.191221799
2020-08-17,4.77878418991758,4.7462470684483,4.80929937582654,132901.190962895,131996.311809136,133749.838733664
2020-08-18,4.32377292981142,4.3010026531711,4.3511646415088,120247.022880306,119613.766226776,121008.804739963
2020-08-19,4.8492630892194,4.83346406724456,4.87796314419108,134861.256385964,134421.87499667,135659.424148904
2020-08-20,2.88436959091926,2.86651663752101,2.90222245811794,80216.2513676811,79719.7487689996,80712.751569095
2020-08-21,4.44239153390905,4.40969320248892,4.47583794580689,123545.885755971,122636.523245439,124476.052885936
2020-08-22,5.29892701029119,5.27542646831232,5.32853460557048,147366.711386333,146713.145564328,148190.118453441
2020-08-23,5.4231293642224,5.3832722766514,5.46020461434507,150820.862086981,149712.409770245,151851.949639951
2020-08-24,4.39999878033039,4.37138204580098,4.43074787053716,122366.914868211,121571.064302611,123222.067674259
2020-08-25,4.19475576869632,4.16835247653073,4.22536683093497,116658.96916509,115924.675915031,117510.283320842
2020-08-26,5.23535767352688,5.20044157190964,5.27099993247827,145598.805528076,144627.765342059,146590.040636212
2020-08-27,5.19595004650438,5.15368515072128,5.23219187610682,144502.853010413,143327.437933635,145510.762580173
2020-08-28,5.1745994989599,5.12749777819273,5.21869381191308,143909.07997451,142599.149553386,145135.372368825
2020-08-29,4.0269646897026,3.99540692957177,4.05937707366975,111992.586808201,111114.944349611,112893.99692843
2020-08-30,5.0842691162855,5.0544221634146,5.11775587399776,141396.9314948,140566.867732657,142328.220668903
2020-08-31,2.27603351613041,2.26787984095185,2.28529313432949,63298.01743368,63071.2582625417,63555.5336213991
2020-09-01,4.09093147105414,4.06469825659097,4.11722814497022,113771.545866787,113041.982591614,114502.873991875
2020-09-02,3.96035733046533,3.94281638175577,3.98295447740026,110140.191508952,109652.365969762,110768.633309348
2020-09-03,4.80667507249161,4.76475335749142,4.84690927568721,133676.855099166,132510.984109953,134795.795254157
2020-09-04,4.79102020350761,4.75558990796326,4.82913112700802,133241.482701155,132256.142437423,134301.373024846
2020-09-05,4.43355417221783,4.41135986365778,4.4689537148044,123300.112804723,122682.874209506,124284.597808089
2020-09-06,4.47385637109894,4.43486636583926,4.51192505477837,124420.943965298,123336.60578874,125479.659571259
2020-09-07,2.61156208440824,2.60370614704227,2.61745420204969,72629.2917817206,72410.8128986879,72793.1555221034
2020-09-08,4.44522651966773,4.41246031839954,4.47707133962592,123624.728609868,122713.478593376,124510.354394638
2020-09-09,4.53509445797257,4.50031780445804,4.57177708374662,126124.016201739,125156.854160914,127144.184608445
2020-09-10,4.51417314683053,4.48562245472961,4.54861031995383,125542.180517854,124748.16663645,126499.901381486
2020-09-11,4.42107421831557,4.3918080262041,4.4600186295503,122953.036922897,122139.124506686,124036.107099065
2020-09-12,3.7383574532536,3.71243453823177,3.76936510146436,103966.226144016,103245.292504263,104828.569621435
2020-09-13,1.62925854530737,1.6158182995474,1.64409586582584,45310.7720400234,44936.989798067,45723.4078673044
2020-09-14,1.63730033415154,1.63086173888988,1.64620719890288,45534.4195772188,45355.3579279801,45782.125455148
2020-09-15,3.00853022441222,2.99044779573928,3.03289544004564,83669.2417949821,83166.3573351216,84346.8547708057
2020-09-16,2.4346290534045,2.414194955397,2.45534096857412,67708.665612687,67140.3796525931,68284.6778542469
2020-09-17,2.1179150951677,2.10482385285086,2.13524094272412,58900.638179046,58536.5619567378,59382.481611011
2020-09-18,1.63119613564457,1.6198904294951,1.64779210726956,45364.6577258337,45050.2384609689,45826.2028189979
