"dateOn","dateOff","TN_wet_kg"
2014-01-28 17:00:00,2014-02-04 17:00:00,31.7392746823683
2014-02-04 17:00:00,2014-02-11 17:00:00,38.928062729274
2014-02-11 17:00:00,2014-02-18 17:00:00,100.588158284954
2014-02-18 17:00:00,2014-02-25 17:00:00,49.2555663093185
2014-02-25 17:00:00,2014-03-04 18:00:00,97.0170160734295
2014-03-04 18:00:00,2014-03-11 16:00:00,161.879828703745
2014-03-11 16:00:00,2014-03-18 17:00:00,132.47003844766
2014-03-18 17:00:00,2014-03-25 16:00:00,94.9283417667192
2014-03-25 16:00:00,2014-04-01 16:00:00,164.562789080514
2014-04-01 16:00:00,2014-04-08 16:00:00,57.8609738535924
2014-04-08 16:00:00,2014-04-15 15:00:00,29.3068602844122
2014-04-15 15:00:00,2014-04-22 16:00:00,223.322653321439
2014-04-22 16:00:00,2014-04-29 16:00:00,182.212510733411
2014-04-29 16:00:00,2014-05-06 16:00:00,155.022966328902
2014-05-06 16:00:00,2014-05-13 16:00:00,69.4547853554361
2014-05-13 16:00:00,2014-05-20 15:00:00,NA
2014-05-20 15:00:00,2014-05-27 16:00:00,NA
2014-05-27 16:00:00,2014-06-03 16:00:00,182.494767489515
2014-06-03 16:00:00,2014-06-10 16:00:00,27.6740400387236
2014-06-10 16:00:00,2014-06-17 17:00:00,208.306602076312
2014-06-17 17:00:00,2014-06-24 19:00:00,149.786250998664
2014-06-24 19:00:00,2014-07-01 18:00:00,137.937471873913
2014-07-01 18:00:00,2014-07-08 16:00:00,10.7825011627301
2014-07-08 16:00:00,2014-07-15 17:00:00,214.795393558947
2014-07-15 17:00:00,2014-07-22 18:00:00,15.5106155770991
2014-07-22 18:00:00,2014-07-29 18:00:00,NA
2014-07-29 18:00:00,2014-08-05 16:00:00,85.6665737902048
2014-08-05 16:00:00,2014-08-12 18:00:00,NA
2014-08-12 18:00:00,2014-08-19 16:00:00,177.138989284026
2014-08-19 16:00:00,2014-08-26 19:00:00,164.27385888596
2014-08-26 19:00:00,2014-09-02 16:00:00,47.2835094018615
2014-09-02 16:00:00,2014-09-09 16:00:00,28.2952857314219
2014-09-09 16:00:00,2014-09-16 17:00:00,29.051702948291
2014-09-16 17:00:00,2014-09-23 16:00:00,NA
2014-09-23 16:00:00,2014-09-30 20:00:00,19.2799351872338
2014-09-30 20:00:00,2014-10-07 16:00:00,58.5387638376657
2014-10-07 16:00:00,2014-10-14 20:00:00,26.3660077387115
2014-10-14 20:00:00,2014-10-21 17:00:00,56.0987261405487
2014-10-21 17:00:00,2014-10-28 18:00:00,73.8343984126403
2014-10-28 18:00:00,2014-11-04 18:00:00,134.622252827517
2014-11-04 18:00:00,2014-11-11 19:00:00,185.460019200992
2014-11-11 19:00:00,2014-11-18 18:00:00,NA
2014-11-18 19:00:00,2014-11-25 20:00:00,100.017370806598
2014-11-25 20:00:00,2014-12-02 19:00:00,NA
2014-12-02 19:00:00,2014-12-09 19:00:00,38.9923282266534
2014-12-09 19:00:00,2014-12-16 19:00:00,24.4695839188461
2014-12-16 19:00:00,2014-12-23 20:00:00,81.8220095670547
2014-12-23 20:00:00,2014-12-30 19:00:00,55.9820667742233
2014-12-30 19:00:00,2015-01-06 19:00:00,NA
2015-01-06 19:00:00,2015-01-13 18:00:00,NA
2015-01-13 19:00:00,2015-01-20 18:00:00,NA
2015-01-20 18:00:00,2015-01-27 18:00:00,NA
2015-01-27 18:00:00,2015-02-03 18:00:00,NA
2015-02-03 18:00:00,2015-02-10 19:00:00,212.993404787824
2015-02-10 19:00:00,2015-02-17 19:00:00,38.6314493813625
2015-02-17 19:00:00,2015-02-24 18:00:00,101.601647538734
2015-02-24 18:00:00,2015-03-03 18:00:00,5.74966660001405
2015-03-03 18:00:00,2015-03-10 18:00:00,NA
2015-03-10 18:00:00,2015-03-17 18:00:00,203.777815947512
2015-03-17 18:00:00,2015-03-24 18:00:00,56.5256812214175
2015-03-24 18:00:00,2015-03-31 18:00:00,123.155139869362
2015-03-31 18:00:00,2015-04-07 17:00:00,114.758693725971
2015-04-07 17:00:00,2015-04-14 18:00:00,NA
2015-04-14 18:00:00,2015-04-21 18:00:00,12.1855429844459
2015-04-21 18:00:00,2015-04-28 17:00:00,18.9029410773974
2015-04-28 17:00:00,2015-05-05 16:00:00,NA
2015-05-05 16:00:00,2015-05-12 16:00:00,130.182296443007
2015-05-12 16:00:00,2015-05-19 16:00:00,86.7410290749946
2015-05-19 16:00:00,2015-05-26 21:00:00,NA
2015-05-26 21:00:00,2015-06-02 15:00:00,224.59535716764
2015-06-02 15:00:00,2015-06-09 15:00:00,33.460467747433
2015-06-09 15:00:00,2015-06-16 16:00:00,NA
2015-06-16 16:00:00,2015-06-23 16:00:00,NA
2015-06-23 16:00:00,2015-06-30 15:00:00,NA
2015-06-30 15:00:00,2015-07-07 17:00:00,NA
2015-07-07 17:00:00,2015-07-14 16:00:00,83.1806190939292
2015-07-14 16:00:00,2015-07-21 15:00:00,10.5100147273312
2015-07-21 15:00:00,2015-07-28 17:00:00,NA
2015-07-28 17:00:00,2015-08-04 16:00:00,NA
2015-08-04 16:00:00,2015-08-11 15:00:00,NA
2015-08-11 15:00:00,2015-08-18 17:00:00,103.014222067249
2015-08-18 17:00:00,2015-08-25 16:00:00,NA
2015-08-25 16:00:00,2015-09-01 18:00:00,NA
2015-09-01 18:00:00,2015-09-08 15:00:00,111.262351969461
2015-09-08 15:00:00,2015-09-15 15:00:00,39.7621580679442
2015-09-15 15:00:00,2015-09-22 15:00:00,49.9137346663005
2015-09-22 15:00:00,2015-09-29 15:00:00,NA
2015-09-29 15:00:00,2015-10-06 17:00:00,NA
2015-10-06 17:00:00,2015-10-13 17:00:00,NA
2015-10-13 17:00:00,2015-10-20 16:00:00,NA
